plate,well,dye,sample,target
CAMTA2,A1,SYBR,1495,CAMTA2
CAMTA2,A2,SYBR,1832,CAMTA2
CAMTA2,A3,SYBR,1496,CAMTA2
CAMTA2,A4,SYBR,1834,CAMTA2
CAMTA2,A5,SYBR,1497,CAMTA2
CAMTA2,A6,SYBR,1835,CAMTA2
CAMTA2,A7,SYBR,1498,CAMTA2
CAMTA2,A8,SYBR,1836,CAMTA2
CAMTA2,A9,SYBR,1499,CAMTA2
CAMTA2,A10,SYBR,1837,CAMTA2
CAMTA2,A11,SYBR,1500,CAMTA2
CAMTA2,A12,SYBR,1839,CAMTA2
CAMTA2,A13,SYBR,1501,CAMTA2
CAMTA2,A14,SYBR,1840,CAMTA2
CAMTA2,A15,SYBR,1503,CAMTA2
CAMTA2,A16,SYBR,1841,CAMTA2
CAMTA2,A17,SYBR,1507,CAMTA2
CAMTA2,A18,SYBR,1842,CAMTA2
CAMTA2,A19,SYBR,1508,CAMTA2
CAMTA2,A20,SYBR,1844,CAMTA2
CAMTA2,A21,SYBR,1510,CAMTA2
CAMTA2,A22,SYBR,1846,CAMTA2
CAMTA2,A23,SYBR,1511,CAMTA2
CAMTA2,A24,SYBR,1848,CAMTA2
CAMTA2,B1,SYBR,1883,CAMTA2
CAMTA2,B2,SYBR,2160,CAMTA2
CAMTA2,B3,SYBR,1884,CAMTA2
CAMTA2,B4,SYBR,2161,CAMTA2
CAMTA2,B5,SYBR,1885,CAMTA2
CAMTA2,B6,SYBR,2162,CAMTA2
CAMTA2,B7,SYBR,1886,CAMTA2
CAMTA2,B8,SYBR,2163,CAMTA2
CAMTA2,B9,SYBR,1887,CAMTA2
CAMTA2,B10,SYBR,2164,CAMTA2
CAMTA2,B11,SYBR,1888,CAMTA2
CAMTA2,B12,SYBR,2165,CAMTA2
CAMTA2,B13,SYBR,1889,CAMTA2
CAMTA2,B14,SYBR,2166,CAMTA2
CAMTA2,B15,SYBR,1890,CAMTA2
CAMTA2,B16,SYBR,2167,CAMTA2
CAMTA2,B17,SYBR,1891,CAMTA2
CAMTA2,B18,SYBR,2168,CAMTA2
CAMTA2,B19,SYBR,1892,CAMTA2
CAMTA2,B20,SYBR,2169,CAMTA2
CAMTA2,B21,SYBR,1893,CAMTA2
CAMTA2,B22,SYBR,2170,CAMTA2
CAMTA2,B23,SYBR,1894,CAMTA2
CAMTA2,B24,SYBR,2171,CAMTA2
CAMTA2,C1,SYBR,1512,CAMTA2
CAMTA2,C2,SYBR,1849,CAMTA2
CAMTA2,C3,SYBR,1513,CAMTA2
CAMTA2,C4,SYBR,1850,CAMTA2
CAMTA2,C5,SYBR,1514,CAMTA2
CAMTA2,C6,SYBR,1852,CAMTA2
CAMTA2,C7,SYBR,1515,CAMTA2
CAMTA2,C8,SYBR,1853,CAMTA2
CAMTA2,C9,SYBR,1516,CAMTA2
CAMTA2,C10,SYBR,1854,CAMTA2
CAMTA2,C11,SYBR,1517,CAMTA2
CAMTA2,C12,SYBR,1855,CAMTA2
CAMTA2,C13,SYBR,1535,CAMTA2
CAMTA2,C14,SYBR,1856,CAMTA2
CAMTA2,C15,SYBR,1536,CAMTA2
CAMTA2,C16,SYBR,1857,CAMTA2
CAMTA2,C17,SYBR,1538,CAMTA2
CAMTA2,C18,SYBR,1858,CAMTA2
CAMTA2,C19,SYBR,1539,CAMTA2
CAMTA2,C20,SYBR,1859,CAMTA2
CAMTA2,C21,SYBR,1540,CAMTA2
CAMTA2,C22,SYBR,1860,CAMTA2
CAMTA2,C23,SYBR,1541,CAMTA2
CAMTA2,C24,SYBR,1861,CAMTA2
CAMTA2,D1,SYBR,1895,CAMTA2
CAMTA2,D2,SYBR,2172,CAMTA2
CAMTA2,D3,SYBR,1896,CAMTA2
CAMTA2,D4,SYBR,939,CAMTA2
CAMTA2,D5,SYBR,1897,CAMTA2
CAMTA2,D6,SYBR,1136,CAMTA2
CAMTA2,D7,SYBR,1898,CAMTA2
CAMTA2,D8,SYBR,1231,CAMTA2
CAMTA2,D9,SYBR,1899,CAMTA2
CAMTA2,D10,SYBR,1687,CAMTA2
CAMTA2,D11,SYBR,1901,CAMTA2
CAMTA2,D12,SYBR,2530,CAMTA2
CAMTA2,D13,SYBR,1902,CAMTA2
CAMTA2,D14,SYBR,2659,CAMTA2
CAMTA2,D15,SYBR,1905,CAMTA2
CAMTA2,D16,SYBR,2660,CAMTA2
CAMTA2,D17,SYBR,1906,CAMTA2
CAMTA2,D18,SYBR,2661,CAMTA2
CAMTA2,D19,SYBR,1907,CAMTA2
CAMTA2,D20,SYBR,2666,CAMTA2
CAMTA2,D21,SYBR,1908,CAMTA2
CAMTA2,D22,SYBR,2709,CAMTA2
CAMTA2,D23,SYBR,1909,CAMTA2
CAMTA2,D24,SYBR,2710,CAMTA2
CAMTA2,E1,SYBR,1542,CAMTA2
CAMTA2,E2,SYBR,1939,CAMTA2
CAMTA2,E3,SYBR,1693,CAMTA2
CAMTA2,E4,SYBR,1940,CAMTA2
CAMTA2,E5,SYBR,1694,CAMTA2
CAMTA2,E6,SYBR,1941,CAMTA2
CAMTA2,E7,SYBR,1695,CAMTA2
CAMTA2,E8,SYBR,1942,CAMTA2
CAMTA2,E9,SYBR,1696,CAMTA2
CAMTA2,E10,SYBR,1943,CAMTA2
CAMTA2,E11,SYBR,1697,CAMTA2
CAMTA2,E12,SYBR,1944,CAMTA2
CAMTA2,E13,SYBR,1698,CAMTA2
CAMTA2,E14,SYBR,1945,CAMTA2
CAMTA2,E15,SYBR,1699,CAMTA2
CAMTA2,E16,SYBR,1946,CAMTA2
CAMTA2,E17,SYBR,1700,CAMTA2
CAMTA2,E18,SYBR,1947,CAMTA2
CAMTA2,E19,SYBR,1701,CAMTA2
CAMTA2,E20,SYBR,1948,CAMTA2
CAMTA2,E21,SYBR,1702,CAMTA2
CAMTA2,E22,SYBR,1949,CAMTA2
CAMTA2,E23,SYBR,1686,CAMTA2
CAMTA2,E24,SYBR,1950,CAMTA2
CAMTA2,F1,SYBR,1910,CAMTA2
CAMTA2,F2,SYBR,2711,CAMTA2
CAMTA2,F3,SYBR,1912,CAMTA2
CAMTA2,F4,SYBR,2712,CAMTA2
CAMTA2,F5,SYBR,1914,CAMTA2
CAMTA2,F6,SYBR,2713,CAMTA2
CAMTA2,F7,SYBR,1915,CAMTA2
CAMTA2,F8,SYBR,2714,CAMTA2
CAMTA2,F9,SYBR,1916,CAMTA2
CAMTA2,F10,SYBR,2715,CAMTA2
CAMTA2,F11,SYBR,1917,CAMTA2
CAMTA2,F12,SYBR,2718,CAMTA2
CAMTA2,F13,SYBR,1918,CAMTA2
CAMTA2,F14,SYBR,2719,CAMTA2
CAMTA2,F15,SYBR,1919,CAMTA2
CAMTA2,F16,SYBR,2738,CAMTA2
CAMTA2,F17,SYBR,1920,CAMTA2
CAMTA2,F18,SYBR,2742,CAMTA2
CAMTA2,F19,SYBR,1921,CAMTA2
CAMTA2,F20,SYBR,2743,CAMTA2
CAMTA2,F21,SYBR,1922,CAMTA2
CAMTA2,F22,SYBR,2745,CAMTA2
CAMTA2,F23,SYBR,1924,CAMTA2
CAMTA2,F24,SYBR,2746,CAMTA2
CAMTA2,G1,SYBR,1677,CAMTA2
CAMTA2,G2,SYBR,1951,CAMTA2
CAMTA2,G3,SYBR,1672,CAMTA2
CAMTA2,G4,SYBR,1952,CAMTA2
CAMTA2,G5,SYBR,520,CAMTA2
CAMTA2,G6,SYBR,1953,CAMTA2
CAMTA2,G7,SYBR,1716,CAMTA2
CAMTA2,G8,SYBR,1954,CAMTA2
CAMTA2,G9,SYBR,1717,CAMTA2
CAMTA2,G10,SYBR,1955,CAMTA2
CAMTA2,G11,SYBR,1720,CAMTA2
CAMTA2,G12,SYBR,1956,CAMTA2
CAMTA2,G13,SYBR,1722,CAMTA2
CAMTA2,G14,SYBR,1957,CAMTA2
CAMTA2,G15,SYBR,827,CAMTA2
CAMTA2,G16,SYBR,1958,CAMTA2
CAMTA2,G17,SYBR,266,CAMTA2
CAMTA2,G18,SYBR,1959,CAMTA2
CAMTA2,G19,SYBR,127,CAMTA2
CAMTA2,G20,SYBR,1960,CAMTA2
CAMTA2,G21,SYBR,315,CAMTA2
CAMTA2,G22,SYBR,1961,CAMTA2
CAMTA2,G23,SYBR,126,CAMTA2
CAMTA2,G24,SYBR,1962,CAMTA2
CAMTA2,H1,SYBR,1928,CAMTA2
CAMTA2,H2,SYBR,2748,CAMTA2
CAMTA2,H3,SYBR,1929,CAMTA2
CAMTA2,H4,SYBR,2253,CAMTA2
CAMTA2,H5,SYBR,1931,CAMTA2
CAMTA2,H6,SYBR,2257,CAMTA2
CAMTA2,H7,SYBR,1932,CAMTA2
CAMTA2,H8,SYBR,2704,CAMTA2
CAMTA2,H9,SYBR,1933,CAMTA2
