sample,sample_type,dilution
111,unk,NA
1136,unk,NA
116,unk,NA
1178,unk,NA
1179,unk,NA
1231,unk,NA
126,unk,NA
127,unk,NA
130,unk,NA
1495,unk,NA
1496,unk,NA
1497,unk,NA
1498,unk,NA
1499,unk,NA
1500,unk,NA
1501,unk,NA
1503,unk,NA
1507,unk,NA
1508,unk,NA
1510,unk,NA
1511,unk,NA
1512,unk,NA
1513,unk,NA
1514,unk,NA
1515,unk,NA
1516,unk,NA
1517,unk,NA
1535,unk,NA
1536,unk,NA
1538,unk,NA
1539,unk,NA
1540,unk,NA
1541,unk,NA
1542,unk,NA
1672,unk,NA
1677,unk,NA
1686,unk,NA
1687,unk,NA
1693,unk,NA
1694,unk,NA
1695,unk,NA
1696,unk,NA
1697,unk,NA
1698,unk,NA
1699,unk,NA
1700,unk,NA
1701,unk,NA
1702,unk,NA
1716,unk,NA
1717,unk,NA
1720,unk,NA
1722,unk,NA
1751,unk,NA
1752,unk,NA
1753,unk,NA
1754,unk,NA
1755,unk,NA
1756,unk,NA
1757,unk,NA
1758,unk,NA
1759,unk,NA
1760,unk,NA
1761,unk,NA
1762,unk,NA
1763,unk,NA
1764,unk,NA
1765,unk,NA
1766,unk,NA
1767,unk,NA
1769,unk,NA
1770,unk,NA
1771,unk,NA
1772,unk,NA
1773,unk,NA
1774,unk,NA
1775,unk,NA
1776,unk,NA
1777,unk,NA
1779,unk,NA
1780,unk,NA
1781,unk,NA
1784,unk,NA
1785,unk,NA
1786,unk,NA
1787,unk,NA
1788,unk,NA
1789,unk,NA
1790,unk,NA
1791,unk,NA
1792,unk,NA
1793,unk,NA
1794,unk,NA
1795,unk,NA
1796,unk,NA
1797,unk,NA
1798,unk,NA
1799,unk,NA
1800,unk,NA
1801,unk,NA
1802,unk,NA
1803,unk,NA
1804,unk,NA
1805,unk,NA
1806,unk,NA
1810,unk,NA
1811,unk,NA
1812,unk,NA
1813,unk,NA
1815,unk,NA
1816,unk,NA
1818,unk,NA
1819,unk,NA
1820,unk,NA
1821,unk,NA
1822,unk,NA
1823,unk,NA
1824,unk,NA
1825,unk,NA
1826,unk,NA
1827,unk,NA
1828,unk,NA
1829,unk,NA
1830,unk,NA
1831,unk,NA
1832,unk,NA
1834,unk,NA
1835,unk,NA
1836,unk,NA
1837,unk,NA
1839,unk,NA
1840,unk,NA
1841,unk,NA
1842,unk,NA
1844,unk,NA
1846,unk,NA
1848,unk,NA
1849,unk,NA
1850,unk,NA
1852,unk,NA
1853,unk,NA
1854,unk,NA
1855,unk,NA
1856,unk,NA
1857,unk,NA
1858,unk,NA
1859,unk,NA
1860,unk,NA
1861,unk,NA
1879,unk,NA
1880,unk,NA
1881,unk,NA
1882,unk,NA
1883,unk,NA
1884,unk,NA
1885,unk,NA
1886,unk,NA
1887,unk,NA
1888,unk,NA
1889,unk,NA
1890,unk,NA
1891,unk,NA
1892,unk,NA
1893,unk,NA
1894,unk,NA
1895,unk,NA
1896,unk,NA
1897,unk,NA
1898,unk,NA
1899,unk,NA
1901,unk,NA
1902,unk,NA
1905,unk,NA
1906,unk,NA
1907,unk,NA
1908,unk,NA
1909,unk,NA
1910,unk,NA
1912,unk,NA
1914,unk,NA
1915,unk,NA
1916,unk,NA
1917,unk,NA
1918,unk,NA
1919,unk,NA
192,unk,NA
1920,unk,NA
